Date,Close,50-day MA,200-day MA,Golden Cross,,,,,,,,,,,,
4/19/2023,414.14,402.5036,394.58965,0,,,,,,,,,,,,
4/20/2023,411.88,402.4374,394.73925,0,,,,,,,,,,,,
4/21/2023,412.2,402.4684,394.884,0,,,,,,,,,,,,
4/24/2023,412.63,402.5792,395.0022,0,,,,,,,,,,,,
4/25/2023,406.08,402.54,395.08925,0,,,,,,,,,,,,
4/26/2023,404.36,402.3706,395.1899,0,,,,,,,,,,,,
4/27/2023,412.41,402.366,395.3478,0,,,,,,,,,,,,
4/28/2023,415.93,402.405,395.5333,0,,,,,,,,,,,,
5/1/2023,415.51,402.5496,395.7213,0,,,,,,,,,,,,
5/2/2023,410.84,402.6212,395.84985,0,,,,,,,,,,,,
5/3/2023,408.02,402.7998,395.9802,0,,,,,,,,,,,,
5/4/2023,405.13,402.9316,396.0445,0,,,,,,,,,,,,
5/5/2023,412.63,403.171,396.1338,0,,,,,,,,,,,,
5/8/2023,412.74,403.4982,396.20355,0,,,,,,,,,,,,
5/9/2023,410.93,403.7622,396.28275,0,,,,,,,,,,,,
5/10/2023,412.85,404.094,396.36915,0,,,,,,,,,,,,
5/11/2023,412.13,404.4418,396.47535,0,,,,,,,,,,,,
5/12/2023,411.59,404.7174,396.5281,0,,,,,,,,,,,,
5/15/2023,413.01,404.8938,396.5628,0,,,,,,,,,,,,
5/16/2023,410.25,405.0094,396.5541,0,,,,,,,,,,,,
5/17/2023,415.23,405.3486,396.5764,0,,,,,,,,,,,,
5/18/2023,419.23,405.7548,396.63225,0,,,,,,,,,,,,
5/19/2023,418.62,406.296,396.6531,0,,,,,,,,,,,,
5/22/2023,418.79,406.9536,396.6762,0,,,,,,,,,,,,
5/23/2023,414.09,407.5282,396.6793,0,,,,,,,,,,,,
5/24/2023,411.09,407.9154,396.6698,0,,,,,,,,,,,,
5/25/2023,414.65,408.4228,396.6863,0,,,,,,,,,,,,
5/26/2023,420.02,408.901,396.68645,0,,,,,,,,,,,,
5/30/2023,420.18,409.5048,396.6874,0,,,,,,,,,,,,
5/31/2023,417.85,409.987,396.64115,0,,,,,,,,,,,,
6/1/2023,421.82,410.4452,396.60595,0,,,,,,,,,,,,
6/2/2023,427.92,411.1614,396.59705,0,,,,,,,,,,,,
6/5/2023,427.1,411.84,396.5993,0,,,,,,,,,,,,
6/6/2023,428.03,412.4856,396.6,0,,,,,,,,,,,,
6/7/2023,426.55,413.0868,396.62205,0,,,,,,,,,,,,
6/8/2023,429.13,413.7574,396.70095,0,,,,,,,,,,,,
6/9/2023,429.9,414.3284,396.7887,0,,,,,,,,,,,,
6/12/2023,433.8,414.9304,396.88935,0,,,,,,,,,,,,
6/13/2023,436.66,415.4758,396.9751,0,,,,,,,,,,,,
6/14/2023,437.18,416.0004,397.13445,0,,,,,,,,,,,,
6/15/2023,442.6,416.679,397.3343,0,,,,,,,,,,,,
6/16/2023,439.46,417.3162,397.54055,0,,,,,,,,,,,,
6/20/2023,437.18,417.876,397.75055,0,,,,,,,,,,,,
6/21/2023,434.94,418.3826,397.94315,0,,,,,,,,,,,,
6/22/2023,436.51,418.9184,398.1645,0,,,,,,,,,,,,
6/23/2023,433.21,419.4216,398.37675,0,,,,,,,,,,,,
6/26/2023,431.44,419.781,398.54505,0,,,,,,,,,,,,
6/27/2023,436.17,420.2552,398.724,0,,,,,,,,,,,,
6/28/2023,436.39,420.7042,398.87295,0,,,,,,,,,,,,
6/29/2023,438.11,421.1822,399.00865,0,,,,,,,,,,,,
6/30/2023,443.28,421.765,399.25955,0,,,,,,,,,,,,
7/3/2023,443.79,422.4032,399.5055,0,,,,,,,,,,,,
7/5/2023,443.13,423.0218,399.77055,0,,,,,,,,,,,,
7/6/2023,439.66,423.5624,400.04105,0,,,,,,,,,,,,
7/7/2023,438.55,424.2118,400.29105,0,,,,,,,,,,,,
7/10/2023,439.66,424.9178,400.5689,0,,,,,,,,,,,,
7/11/2023,442.46,425.5188,400.89425,0,,,,,,,,,,,,
7/12/2023,446.02,426.1206,401.25325,0,,,,,,,,,,,,
7/13/2023,449.56,426.8016,401.6613,0,,,,,,,,,,,,
7/14/2023,449.28,427.5704,402.08615,0,,,,,,,,,,,,
7/17/2023,450.84,428.4268,402.52345,0,,,,,,,,,,,,
7/18/2023,454.19,429.408,402.94175,0,,,,,,,,,,,,
7/19/2023,455.2,430.2594,403.4038,0,,,,,,,,,,,,
7/20/2023,452.18,431.0482,403.8788,0,,,,,,,,,,,,
7/21/2023,452.18,431.8732,404.30665,0,,,,,,,,,,,,
7/24/2023,454.2,432.7002,404.6878,0,,,,,,,,,,,,
7/25/2023,455.44,433.5664,405.07955,0,,,,,,,,,,,,
7/26/2023,455.51,434.4448,405.4911,0,,,,,,,,,,,,
7/27/2023,452.49,435.2344,405.9396,0,,,,,,,,,,,,
7/28/2023,456.92,436.1678,406.4241,0,,,,,,,,,,,,
7/31/2023,457.79,437.019,406.92435,0,,,,,,,,,,,,
8/1/2023,456.48,437.764,407.42395,0,,,,,,,,,,,,
8/2/2023,450.13,438.3942,407.84475,0,,,,,,,,,,,,
8/3/2023,448.84,438.9952,408.3008,0,,,,,,,,,,,,
8/4/2023,446.81,439.6496,408.70075,0,,,,,,,,,,,,
8/7/2023,450.71,440.442,409.09865,0,,,,,,,,,,,,
8/8/2023,448.75,441.124,409.4999,0,,,,,,,,,,,,
8/9/2023,445.75,441.6386,409.9016,0,,,,,,,,,,,,
8/10/2023,445.91,442.1532,410.2597,0,,,,,,,,,,,,
8/11/2023,445.65,442.7092,410.5936,0,,,,,,,,,,,,
8/14/2023,448.11,443.235,410.90955,0,,,,,,,,,,,,
8/15/2023,442.89,443.5344,411.2139,0,,,,,,,,,,,,
8/16/2023,439.64,443.7852,411.5122,0,,,,,,,,,,,,
8/17/2023,436.29,443.9504,411.74855,0,,,,,,,,,,,,
8/18/2023,436.5,444.1494,412,0,,,,,,,,,,,,
8/21/2023,439.34,444.3536,412.2741,0,,,,,,,,,,,,
8/22/2023,438.15,444.5186,412.5905,0,,,,,,,,,,,,
8/23/2023,443.03,444.7032,412.9506,0,,,,,,,,,,,,
8/24/2023,436.89,444.7078,413.2533,0,,,,,,,,,,,,
8/25/2023,439.97,444.7636,413.5534,0,,,,,,,,,,,,
8/28/2023,442.76,444.7668,413.8572,0,,,,,,,,,,,,
8/29/2023,449.16,444.9608,414.23235,0,,,,,,,,,,,,
8/30/2023,451.01,445.2374,414.51395,0,,,,,,,,,,,,
8/31/2023,450.35,445.5456,414.77315,0,,,,,,,,,,,,
9/1/2023,451.19,445.8392,415.0535,0,,,,,,,,,,,,
9/5/2023,449.24,446.1598,415.30725,0,,,,,,,,,,,,
9/6/2023,446.22,446.4554,415.5611,0,,,,,,,,,,,,
9/7/2023,444.85,446.629,415.81415,0,,,,,,,,,,,,
9/8/2023,445.52,446.8116,416.0616,0,,,,,,,,,,,,
9/11/2023,448.45,447.0184,416.3309,0,,,,,,,,,,,,
9/12/2023,445.99,447.0726,416.56135,0,,,,,,,,,,,,
9/13/2023,446.51,447.127,416.7818,0,,,,,,,,,,,,
9/14/2023,450.36,447.2716,417.02195,0,,,,,,,,,,,,
9/15/2023,443.37,447.3458,417.25925,0,,,,,,,,,,,,
9/18/2023,443.63,447.4474,417.50125,0,,,,,,,,,,,,
9/19/2023,442.71,447.5084,417.6764,0,,,,,,,,,,,,
9/20/2023,438.64,447.432,417.8327,0,,,,,,,,,,,,
9/21/2023,431.39,447.1394,417.9551,0,,,,,,,,,,,,
9/22/2023,430.42,446.7566,418.10925,0,,,,,,,,,,,,
9/25/2023,432.23,446.4156,418.30125,0,,,,,,,,,,,,
9/26/2023,425.88,445.9164,418.46485,0,,,,,,,,,,,,
9/27/2023,426.05,445.3536,418.6139,0,,,,,,,,,,,,
9/28/2023,428.52,444.82,418.7901,0,,,,,,,,,,,,
9/29/2023,427.48,444.326,418.93275,0,,,,,,,,,,,,
10/2/2023,427.31,443.8286,419.05945,0,,,,,,,,,,,,
10/3/2023,421.59,443.1764,419.1704,0,,,,,,,,,,,,
10/4/2023,424.66,442.5608,419.34555,0,,,,,,,,,,,,
10/5/2023,424.5,441.9406,419.5517,0,,,,,,,,,,,,
10/6/2023,429.54,441.4816,419.7993,0,,,,,,,,,,,,
10/9/2023,432.29,440.989,420.05805,0,,,,,,,,,,,,
10/10/2023,434.54,440.524,420.2996,0,,,,,,,,,,,,
10/11/2023,436.32,440.1208,420.5776,0,,,,,,,,,,,,
10/12/2023,433.66,439.7914,420.83135,0,,,,,,,,,,,,
10/13/2023,431.5,439.4446,421.08185,0,,,,,,,,,,,,
10/16/2023,436.04,439.2292,421.37875,0,,,,,,,,,,,,
10/17/2023,436.02,438.9354,421.64165,0,,,,,,,,,,,,
10/18/2023,430.21,438.5646,421.88055,0,,,,,,,,,,,,
10/19/2023,426.43,438.1782,422.1086,0,,,,,,,,,,,,
10/20/2023,421.19,437.6838,422.29575,0,,,,,,,,,,,,
10/23/2023,420.46,437.18,422.50115,0,,,,,,,,,,,,
10/24/2023,423.63,436.6904,422.6789,0,,,,,,,,,,,,
10/25/2023,417.55,436.1836,422.82735,0,,,,,,,,,,,,
10/26/2023,412.55,435.6418,422.9372,0,,,,,,,,,,,,
10/27/2023,410.68,435.1296,423.013,0,,,,,,,,,,,,
10/30/2023,415.59,434.7114,423.10615,0,,,,,,,,,,,,
10/31/2023,418.2,434.2886,423.20465,0,,,,,,,,,,,,
11/1/2023,422.66,433.9788,423.3291,0,,,,,,,,,,,,
11/2/2023,430.76,433.7334,423.52545,0,,,,,,,,,,,,
11/3/2023,434.69,433.6894,423.7557,0,,,,,,,,,,,,
11/6/2023,435.69,433.6038,423.95475,0,,,,,,,,,,,,
11/7/2023,436.93,433.4872,424.13625,0,,,,,,,,,,,,
11/8/2023,437.25,433.249,424.3215,0,,,,,,,,,,,,
11/9/2023,433.84,432.9056,424.48895,0,,,,,,,,,,,,
11/10/2023,440.61,432.7108,424.66825,0,,,,,,,,,,,,
11/13/2023,440.19,432.4908,424.8408,0,,,,,,,,,,,,
11/14/2023,448.73,432.4806,425.0815,0,,,,,,,,,,,,
11/15/2023,449.68,432.5498,425.2975,0,,,,,,,,,,,,
11/16/2023,450.23,432.6574,425.49465,0,,,,,,,,,,,,
11/17/2023,450.79,432.7628,425.6647,0,,,,,,,,,,,,
11/20/2023,454.26,432.879,425.87425,0,,,,,,,,,,,,
11/21/2023,453.27,433.0246,426.09145,0,,,,,,,,,,,,
11/22/2023,455.02,433.1948,426.2906,0,,,,,,,,,,,,
11/24/2023,455.3,433.2936,426.51385,0,,,,,,,,,,,,
11/27/2023,454.48,433.5158,426.7508,0,,,,,,,,,,,,
11/28/2023,454.93,433.7418,426.98525,0,,,,,,,,,,,,
11/29/2023,454.61,433.9798,427.19415,0,,,,,,,,,,,,
