Date,Close
5/28/2021,420.04
6/1/2021,419.67
6/2/2021,420.33
6/3/2021,418.77
6/4/2021,422.6
6/7/2021,422.19
6/8/2021,422.28
6/9/2021,421.65
6/10/2021,423.61
6/11/2021,424.31
6/14/2021,425.26
6/15/2021,424.48
6/16/2021,422.11
6/17/2021,421.97
6/18/2021,414.92
6/21/2021,420.86
6/22/2021,423.11
6/23/2021,422.6
6/24/2021,425.1
6/25/2021,426.61
6/28/2021,427.47
6/29/2021,427.7
6/30/2021,428.06
7/1/2021,430.43
7/2/2021,433.72
7/6/2021,432.93
7/7/2021,434.46
7/8/2021,430.92
7/9/2021,435.52
7/12/2021,437.08
7/13/2021,435.59
7/14/2021,436.24
7/15/2021,434.75
7/16/2021,431.34
7/19/2021,424.97
7/20/2021,431.06
7/21/2021,434.55
7/22/2021,435.46
7/23/2021,439.94
7/26/2021,441.02
7/27/2021,439.01
7/28/2021,438.83
7/29/2021,440.65
7/30/2021,438.51
8/2/2021,437.59
8/3/2021,441.15
8/4/2021,438.98
8/5/2021,441.76
8/6/2021,442.49
8/9/2021,442.13
8/10/2021,442.68
8/11/2021,443.78
8/12/2021,445.11
8/13/2021,445.92
8/16/2021,446.97
8/17/2021,444.04
8/18/2021,439.18
8/19/2021,439.86
8/20/2021,443.36
8/23/2021,447.26
8/24/2021,447.97
8/25/2021,448.91
8/26/2021,446.26
8/27/2021,450.25
8/30/2021,452.23
8/31/2021,451.56
9/1/2021,451.8
9/2/2021,453.19
9/3/2021,453.08
9/7/2021,451.46
9/8/2021,450.91
9/9/2021,448.98
9/10/2021,445.44
9/13/2021,446.58
9/14/2021,444.17
9/15/2021,447.88
9/16/2021,447.17
9/17/2021,441.4
9/20/2021,434.04
9/21/2021,433.63
9/22/2021,437.86
9/23/2021,443.18
9/24/2021,443.91
9/27/2021,442.64
9/28/2021,433.72
9/29/2021,434.45
9/30/2021,429.14
10/1/2021,434.24
10/4/2021,428.64
10/5/2021,433.1
10/6/2021,434.9
10/7/2021,438.66
10/8/2021,437.86
10/11/2021,434.69
10/12/2021,433.62
10/13/2021,435.18
10/14/2021,442.5
10/15/2021,445.87
10/18/2021,447.19
10/19/2021,450.64
10/20/2021,452.41
10/21/2021,453.59
10/22/2021,453.12
10/25/2021,455.55
10/26/2021,455.96
10/27/2021,453.94
10/28/2021,458.32
10/29/2021,459.25
11/1/2021,460.04
11/2/2021,461.9
11/3/2021,464.72
11/4/2021,466.91
11/5/2021,468.53
11/8/2021,468.93
11/9/2021,467.38
11/10/2021,463.62
11/11/2021,463.77
11/12/2021,467.27
11/15/2021,467.43
11/16/2021,469.28
11/17/2021,468.14
11/18/2021,469.73
11/19/2021,468.89
11/22/2021,467.57
11/23/2021,468.19
11/24/2021,469.44
11/26/2021,458.97
11/29/2021,464.6
11/30/2021,455.56
12/1/2021,450.5
12/2/2021,457.4
12/3/2021,453.42
12/6/2021,458.79
12/7/2021,468.28
12/8/2021,469.52
12/9/2021,466.35
12/10/2021,470.74
12/13/2021,466.57
12/14/2021,463.36
12/15/2021,470.6
12/16/2021,466.45
12/17/2021,459.87
12/20/2021,454.98
12/21/2021,463.06
12/22/2021,467.69
12/23/2021,470.6
12/27/2021,477.26
12/28/2021,476.87
12/29/2021,477.48
12/30/2021,476.16
12/31/2021,474.96
1/3/2022,477.71
1/4/2022,477.55
1/5/2022,468.38
1/6/2022,467.94
1/7/2022,466.09
1/10/2022,465.51
1/11/2022,469.75
1/12/2022,471.02
1/13/2022,464.53
1/14/2022,464.72
1/18/2022,456.49
1/19/2022,451.75
1/20/2022,446.75
1/21/2022,437.98
1/24/2022,439.84
1/25/2022,434.47
1/26/2022,433.38
1/27/2022,431.24
1/28/2022,441.95
1/31/2022,449.91
2/1/2022,452.95
2/2/2022,457.35
2/3/2022,446.6
2/4/2022,448.7
2/7/2022,447.26
2/8/2022,450.94
2/9/2022,457.54
2/10/2022,449.32
2/11/2022,440.46
2/14/2022,439.02
2/15/2022,446.1
2/16/2022,446.6
2/17/2022,437.06
2/18/2022,434.23
2/22/2022,429.57
2/23/2022,421.95
2/24/2022,428.3
2/25/2022,437.75
2/28/2022,436.63
3/1/2022,429.98
3/2/2022,437.89
3/3/2022,435.71
3/4/2022,432.17
3/7/2022,419.43
3/8/2022,416.25
3/9/2022,427.41
3/10/2022,425.48
3/11/2022,420.07
3/14/2022,417
3/15/2022,426.17
3/16/2022,435.62
3/17/2022,441.07
3/18/2022,444.52
3/21/2022,444.39
3/22/2022,449.59
